,event_id,division,round,team1,team2,score1,score2,match_link
109,7349,Division 3 X-Ball™,Prelims,Bayside Raiders ,The Devils  Own,5,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2035
110,7349,Division 3 X-Ball™,Prelims,Shut up we're trying ,88 SQUAD,4,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2018
111,7349,Division 3 X-Ball™,Prelims,AG Knights,NARCOS,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2019
112,7349,Division 3 X-Ball™,Prelims,Proedge Paintball Factory,NARCOS,6,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2017
113,7349,Division 3 X-Ball™,Prelims,Sac DMG,OC Titans,5,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2110
114,7349,Division 3 X-Ball™,Prelims,Armagedon ,Cartel Kidz,5,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2109
115,7349,Division 3 X-Ball™,Prelims,Cartel Kidz,NJ Jesters,5,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2111
116,7349,Division 3 X-Ball™,Prelims,The Coup ,NJ Jesters,5,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2108
117,7349,Division 3 X-Ball™,Prelims,NJ Jesters,OC Titans,4,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2308
118,7349,Division 3 X-Ball™,Prelims,OC Titans,Armagedon ,5,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2311
119,7349,Division 3 X-Ball™,Prelims,Philadelphia A's,Competitive Edge ,4,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2122
120,7349,Division 3 X-Ball™,Prelims,Pittsburgh Mercenaries,Arsenal X,5,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2124
121,7349,Division 3 X-Ball™,Prelims,Arsenal X,Notorious,5,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2121
122,7349,Division 3 X-Ball™,Prelims,Notorious,RNT,5,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2123
123,7349,Division 3 X-Ball™,Prelims,Competitive Edge ,RNT,5,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2119
124,7349,Division 3 X-Ball™,Top 24/32,Pittsburgh Mercenaries,Armagedon ,4,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=1&GID=1504
